season,city,date,team1,venue
2011,Chennai,25/04/11,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2011,Delhi,26/04/11,Delhi Daredevils,Feroz Shah Kotla
2011,Mumbai,27/04/11,Pune Warriors,Dr DY Patil Sports Academy
2011,Kochi,27/04/11,Deccan Chargers,Nehru Stadium
2011,Delhi,28/04/11,Kolkata Knight Riders,Feroz Shah Kotla
2011,Jaipur,29/04/11,Mumbai Indians,Sawai Mansingh Stadium
2011,Bangalore,29/04/11,Royal Challengers Bangalore,M Chinnaswamy Stadium
2011,Kochi,30/04/11,Delhi Daredevils,Nehru Stadium
2011,Kolkata,30/04/11,Kings XI Punjab,Eden Gardens
2011,Jaipur,1/5/2011,Pune Warriors,Sawai Mansingh Stadium
2011,Chennai,1/5/2011,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2011,Mumbai,2/5/2011,Mumbai Indians,Wankhede Stadium
2011,Delhi,2/5/2011,Delhi Daredevils,Feroz Shah Kotla
2011,Hyderabad,3/5/2011,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
2011,Chennai,4/5/2011,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk"
2011,Mumbai,4/5/2011,Mumbai Indians,Dr DY Patil Sports Academy
2011,Kochi,5/5/2011,Kochi Tuskers Kerala,Nehru Stadium
2011,Hyderabad,5/5/2011,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
2011,Bangalore,6/5/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium
2011,Kolkata,7/5/2011,Chennai Super Kings,Eden Gardens
2011,Mumbai,7/5/2011,Mumbai Indians,Wankhede Stadium
2011,Bangalore,8/5/2011,Kochi Tuskers Kerala,M Chinnaswamy Stadium
2011,Chandigarh,8/5/2011,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2011,Jaipur,9/5/2011,Chennai Super Kings,Sawai Mansingh Stadium
2011,Hyderabad,10/5/2011,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
2011,Chandigarh,10/5/2011,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2011,Jaipur,11/5/2011,Rajasthan Royals,Sawai Mansingh Stadium
2011,Chennai,12/5/2011,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2011,Indore,13/05/11,Kochi Tuskers Kerala,Holkar Cricket Stadium
2011,Bangalore,14/05/11,Kolkata Knight Riders,M Chinnaswamy Stadium
2011,Mumbai,14/05/11,Deccan Chargers,Wankhede Stadium
2011,Dharamsala,15/05/11,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
2011,Indore,15/05/11,Rajasthan Royals,Holkar Cricket Stadium
2011,Mumbai,16/05/11,Pune Warriors,Dr DY Patil Sports Academy
2011,Dharamsala,17/05/11,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
2011,Chennai,18/05/11,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2011,Mumbai,19/05/11,Pune Warriors,Dr DY Patil Sports Academy
2011,Mumbai,20/05/11,Mumbai Indians,Wankhede Stadium
2011,Dharamsala,21/05/11,Deccan Chargers,Himachal Pradesh Cricket Association Stadium
2011,Delhi,21/05/11,Delhi Daredevils,SS Hazare
2011,Bangalore,22/05/11,Chennai Super Kings,M Chinnaswamy Stadium
2011,Kolkata,22/05/11,Kolkata Knight Riders,Eden Gardens
2011,Mumbai,24/05/11,Royal Challengers Bangalore,Wankhede Stadium
2011,Mumbai,25/05/11,Kolkata Knight Riders,Wankhede Stadium
2011,Chennai,27/05/11,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
2011,Chennai,28/05/11,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2012,Chennai,4/4/2012,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2012,Kolkata,5/4/2012,Kolkata Knight Riders,Eden Gardens
2012,Mumbai,6/4/2012,Pune Warriors,Wankhede Stadium
2012,Jaipur,6/4/2012,Rajasthan Royals,Sawai Mansingh Stadium
2012,Bangalore,7/4/2012,Royal Challengers Bangalore,M Chinnaswamy Stadium
2012,Visakhapatnam,7/4/2012,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2012,Jaipur,8/4/2012,Rajasthan Royals,Sawai Mansingh Stadium
2012,Pune,8/4/2012,Pune Warriors,Subrata Roy Sahara Stadium
2012,Visakhapatnam,9/4/2012,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2012,Bangalore,10/4/2012,Kolkata Knight Riders,M Chinnaswamy Stadium
2012,Delhi,10/4/2012,Chennai Super Kings,Feroz Shah Kotla
2012,Mumbai,11/4/2012,Mumbai Indians,Wankhede Stadium
2012,Chennai,12/4/2012,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
2012,Chandigarh,12/4/2012,Pune Warriors,"Punjab Cricket Association Stadium, Mohali"
2012,Kolkata,13/04/12,Rajasthan Royals,Eden Gardens
2012,Delhi,19/04/12,Deccan Chargers,Feroz Shah Kotla
2012,Pune,14/04/12,Chennai Super Kings,Subrata Roy Sahara Stadium
2012,Kolkata,15/04/12,Kings XI Punjab,Eden Gardens
2012,Bangalore,15/04/12,Rajasthan Royals,M Chinnaswamy Stadium
2012,Mumbai,16/04/12,Mumbai Indians,Wankhede Stadium
2012,Jaipur,17/04/12,Deccan Chargers,Sawai Mansingh Stadium
2012,Bangalore,17/04/12,Pune Warriors,M Chinnaswamy Stadium
2012,Chandigarh,18/04/12,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2012,Hyderabad,10/5/2012,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
2012,Chennai,19/04/12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2012,Chandigarh,20/04/12,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2012,Chennai,21/04/12,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk"
2012,Delhi,21/04/12,Pune Warriors,Feroz Shah Kotla
2012,Mumbai,22/04/12,Mumbai Indians,Wankhede Stadium
2012,Cuttack,22/04/12,Deccan Chargers,Barabati Stadium
2012,Jaipur,23/04/12,Royal Challengers Bangalore,Sawai Mansingh Stadium
2012,Pune,24/04/12,Pune Warriors,Subrata Roy Sahara Stadium
2012,Chandigarh,25/04/12,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2012,Pune,26/04/12,Deccan Chargers,Subrata Roy Sahara Stadium
2012,Delhi,27/04/12,Delhi Daredevils,Feroz Shah Kotla
2012,Chennai,28/04/12,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk"
2012,Kolkata,28/04/12,Kolkata Knight Riders,Eden Gardens
2012,Delhi,29/04/12,Delhi Daredevils,Feroz Shah Kotla
2012,Mumbai,29/04/12,Deccan Chargers,Wankhede Stadium
2012,Chennai,30/04/12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2012,Cuttack,1/5/2012,Deccan Chargers,Barabati Stadium
2012,Jaipur,1/5/2012,Rajasthan Royals,Sawai Mansingh Stadium
2012,Bangalore,2/5/2012,Royal Challengers Bangalore,M Chinnaswamy Stadium
